EXMPC,,,,,,
WAC,,,,,,
G01,,,,,,
440,,,,,,
25,,,,,,
nm,,,,,,
Angular Dependence,,,,,,
Wavelengths,0,8,16,24,32,40
441,0.94745,0.938,0.93869,0.46133,-0.00509,-0.00943
441.37,0.94633,0.93896,0.93917,0.43968,-0.00549,-0.00877
441.73,0.94511,0.93957,0.93909,0.4136,-0.00577,-0.0084
442.1,0.94439,0.93963,0.93874,0.38252,-0.00635,-0.00853
442.47,0.94543,0.94087,0.93923,0.34617,-0.00657,-0.00877
442.83,0.94711,0.94218,0.93906,0.30419,-0.00681,-0.00863
443.2,0.94902,0.94244,0.93749,0.25813,-0.00741,-0.00877
443.57,0.95066,0.94352,0.93363,0.21152,-0.00768,-0.00854
443.93,0.95093,0.94362,0.92673,0.16523,-0.00816,-0.00914
444.3,0.95106,0.94369,0.91534,0.12272,-0.0088,-0.00942
444.67,0.95188,0.94516,0.89955,0.08759,-0.00838,-0.00904
445.03,0.95144,0.94523,0.87531,0.05921,-0.00832,-0.00874
445.4,0.95094,0.94536,0.84294,0.0383,-0.00789,-0.00834
445.77,0.95005,0.94621,0.80313,0.02347,-0.00746,-0.00812
446.13,0.9505,0.94636,0.75569,0.01316,-0.00736,-0.00835
446.5,0.9508,0.94596,0.70032,0.0069,-0.00711,-0.00804
446.87,0.9513,0.94529,0.63818,0.00328,-0.0066,-0.0079
447.23,0.95185,0.94425,0.57072,0.0003,-0.00712,-0.00823
447.6,0.95263,0.94352,0.50094,-0.00171,-0.00692,-0.00832
447.96,0.95344,0.9414,0.42888,-0.00332,-0.0071,-0.00874
448.33,0.95404,0.93629,0.35852,-0.00395,-0.00709,-0.00866
448.7,0.95346,0.92829,0.2907,-0.00486,-0.00736,-0.00841
449.06,0.95283,0.91407,0.22799,-0.00508,-0.00721,-0.00824
449.43,0.95145,0.89046,0.17258,-0.00558,-0.00737,-0.00833
449.79,0.94763,0.85307,0.12468,-0.00595,-0.00729,-0.00832
450.16,0.94124,0.80158,0.08689,-0.00591,-0.00749,-0.00812
