AUPE,,,
HRC,,,
blank,,,
NA,,,
NA,,,
nm,,,
Hoya-C5000 IR Cut,,,
Wavelengths,0,8,16
850,0.029124358,0.029124358,0.029124358
851,0.028847336,0.028847336,0.028847336
852,0.028570314,0.028570314,0.028570314
853,0.028293292,0.028293292,0.028293292
854,0.02801627,0.02801627,0.02801627
855,0.027739247,0.027739247,0.027739247
856,0.027462225,0.027462225,0.027462225
857,0.027185203,0.027185203,0.027185203
858,0.026908181,0.026908181,0.026908181
859,0.026631159,0.026631159,0.026631159
860,0.026354136,0.026354136,0.026354136
861,0.026077114,0.026077114,0.026077114
862,0.025800092,0.025800092,0.025800092
863,0.02552307,0.02552307,0.02552307
864,0.025246048,0.025246048,0.025246048
865,0.024969025,0.024969025,0.024969025
866,0.024692003,0.024692003,0.024692003
867,0.024414981,0.024414981,0.024414981
868,0.024137959,0.024137959,0.024137959
869,0.023860936,0.023860936,0.023860936
870,0.023583914,0.023583914,0.023583914
871,0.023306892,0.023306892,0.023306892
872,0.02302987,0.02302987,0.02302987
873,0.022752848,0.022752848,0.022752848
874,0.022475825,0.022475825,0.022475825
875,0.022198803,0.022198803,0.022198803
876,0.021921781,0.021921781,0.021921781
877,0.021644759,0.021644759,0.021644759
878,0.021367737,0.021367737,0.021367737
879,0.021090714,0.021090714,0.021090714
880,0.020813692,0.020813692,0.020813692
881,0.02053667,0.02053667,0.02053667
882,0.020381569,0.020381569,0.020381569
883,0.020303901,0.020303901,0.020303901
884,0.020226233,0.020226233,0.020226233
885,0.020148565,0.020148565,0.020148565
886,0.020070897,0.020070897,0.020070897
887,0.01999323,0.01999323,0.01999323
888,0.019915562,0.019915562,0.019915562
889,0.019837894,0.019837894,0.019837894
890,0.019760226,0.019760226,0.019760226
891,0.019682558,0.019682558,0.019682558
892,0.01960489,0.01960489,0.01960489
893,0.019527222,0.019527222,0.019527222
894,0.019449555,0.019449555,0.019449555
895,0.019371887,0.019371887,0.019371887
896,0.019294219,0.019294219,0.019294219
897,0.019216551,0.019216551,0.019216551
898,0.019138883,0.019138883,0.019138883
899,0.019061215,0.019061215,0.019061215
900,0.018983547,0.018983547,0.018983547
901,0.01890588,0.01890588,0.01890588
902,0.018828212,0.018828212,0.018828212
903,0.018750544,0.018750544,0.018750544
904,0.018672876,0.018672876,0.018672876
905,0.018595208,0.018595208,0.018595208
906,0.01851754,0.01851754,0.01851754
907,0.018439872,0.018439872,0.018439872
908,0.018362205,0.018362205,0.018362205
909,0.018284537,0.018284537,0.018284537
910,0.018206869,0.018206869,0.018206869
911,0.018129201,0.018129201,0.018129201
912,0.018051533,0.018051533,0.018051533
913,0.017973865,0.017973865,0.017973865
914,0.017896197,0.017896197,0.017896197
915,0.01781853,0.01781853,0.01781853
916,0.017740862,0.017740862,0.017740862
917,0.017663194,0.017663194,0.017663194
918,0.017585526,0.017585526,0.017585526
919,0.017507858,0.017507858,0.017507858
920,0.01743019,0.01743019,0.01743019
921,0.01758936,0.01758936,0.01758936
922,0.01779631,0.01779631,0.01779631
923,0.018003259,0.018003259,0.018003259
924,0.018210208,0.018210208,0.018210208
925,0.018417158,0.018417158,0.018417158
926,0.018624107,0.018624107,0.018624107
927,0.018831057,0.018831057,0.018831057
928,0.019038006,0.019038006,0.019038006
929,0.019244955,0.019244955,0.019244955
930,0.019451905,0.019451905,0.019451905
931,0.019658854,0.019658854,0.019658854
932,0.019865804,0.019865804,0.019865804
933,0.020072753,0.020072753,0.020072753
934,0.020279702,0.020279702,0.020279702
935,0.020486652,0.020486652,0.020486652
936,0.020693601,0.020693601,0.020693601
937,0.020900551,0.020900551,0.020900551
938,0.0211075,0.0211075,0.0211075
939,0.021314449,0.021314449,0.021314449
940,0.021521399,0.021521399,0.021521399
941,0.021728348,0.021728348,0.021728348
942,0.021935298,0.021935298,0.021935298
943,0.022142247,0.022142247,0.022142247
944,0.022349196,0.022349196,0.022349196
945,0.022556146,0.022556146,0.022556146
946,0.022763095,0.022763095,0.022763095
947,0.022970045,0.022970045,0.022970045
948,0.023176994,0.023176994,0.023176994
949,0.023383944,0.023383944,0.023383944
950,0.023590893,0.023590893,0.023590893
951,0.023797842,0.023797842,0.023797842
952,0.024004792,0.024004792,0.024004792
953,0.024513301,0.024513301,0.024513301
954,0.025061155,0.025061155,0.025061155
955,0.02560901,0.02560901,0.02560901
956,0.026156865,0.026156865,0.026156865
957,0.02670472,0.02670472,0.02670472
958,0.027252575,0.027252575,0.027252575
959,0.027800429,0.027800429,0.027800429
960,0.028348284,0.028348284,0.028348284
961,0.028896139,0.028896139,0.028896139
962,0.029443994,0.029443994,0.029443994
963,0.029991849,0.029991849,0.029991849
964,0.030539703,0.030539703,0.030539703
965,0.031087558,0.031087558,0.031087558
966,0.031635413,0.031635413,0.031635413
967,0.032183268,0.032183268,0.032183268
968,0.032731122,0.032731122,0.032731122
969,0.033278977,0.033278977,0.033278977
970,0.033826832,0.033826832,0.033826832
971,0.034374687,0.034374687,0.034374687
972,0.034922542,0.034922542,0.034922542
973,0.035470396,0.035470396,0.035470396
974,0.036018251,0.036018251,0.036018251
975,0.036566106,0.036566106,0.036566106
976,0.037113961,0.037113961,0.037113961
977,0.037661816,0.037661816,0.037661816
978,0.03820967,0.03820967,0.03820967
979,0.038757525,0.038757525,0.038757525
980,0.03930538,0.03930538,0.03930538
981,0.039853235,0.039853235,0.039853235
982,0.040543477,0.040543477,0.040543477
983,0.041781923,0.041781923,0.041781923
984,0.043020369,0.043020369,0.043020369
985,0.044258815,0.044258815,0.044258815
986,0.045497261,0.045497261,0.045497261
987,0.046735707,0.046735707,0.046735707
988,0.047974153,0.047974153,0.047974153
989,0.049212599,0.049212599,0.049212599
990,0.050451046,0.050451046,0.050451046
991,0.051689492,0.051689492,0.051689492
992,0.052927938,0.052927938,0.052927938
993,0.054166384,0.054166384,0.054166384
994,0.05540483,0.05540483,0.05540483
995,0.056643276,0.056643276,0.056643276
996,0.057881722,0.057881722,0.057881722
997,0.059120168,0.059120168,0.059120168
998,0.060358614,0.060358614,0.060358614
999,0.06159706,0.06159706,0.06159706
1000,0.062835507,0.062835507,0.062835507
1001,0.06291486,0.06291486,0.06291486
1002,0.062902315,0.062902315,0.062902315
1003,0.06288977,0.06288977,0.06288977
1004,0.062877225,0.062877225,0.062877225
1005,0.062864679,0.062864679,0.062864679
1006,0.062852134,0.062852134,0.062852134
1007,0.062839589,0.062839589,0.062839589
1008,0.062953062,0.062953062,0.062953062
1009,0.06345327,0.06345327,0.06345327
1010,0.063953479,0.063953479,0.063953479
1011,0.064453687,0.064453687,0.064453687
1012,0.064953895,0.064953895,0.064953895
1013,0.065454103,0.065454103,0.065454103
1014,0.065954312,0.065954312,0.065954312
1015,0.06645452,0.06645452,0.06645452
1016,0.066954728,0.066954728,0.066954728
1017,0.067454936,0.067454936,0.067454936
1018,0.067955145,0.067955145,0.067955145
1019,0.068455353,0.068455353,0.068455353
1020,0.068955561,0.068955561,0.068955561
1021,0.069455769,0.069455769,0.069455769
1022,0.069955978,0.069955978,0.069955978
1023,0.070456186,0.070456186,0.070456186
1024,0.070956394,0.070956394,0.070956394
1025,0.071456602,0.071456602,0.071456602
1026,0.071956811,0.071956811,0.071956811
1027,0.072457019,0.072457019,0.072457019
1028,0.072957227,0.072957227,0.072957227
1029,0.073457435,0.073457435,0.073457435
1030,0.073957644,0.073957644,0.073957644
1031,0.074457852,0.074457852,0.074457852
1032,0.07495806,0.07495806,0.07495806
1033,0.075458268,0.075458268,0.075458268
1034,0.075958477,0.075958477,0.075958477
1035,0.076458685,0.076458685,0.076458685
1036,0.076958893,0.076958893,0.076958893
1037,0.077459101,0.077459101,0.077459101
