PanCam_CT Measured ~2018 Aber. Uni.,,,,,,,,
Wavelength,MultiSpec,White,Red,Yellow,Turquoise,Blue,Light_Gray,Dark_Gray
412.13,18.749,70.261,8.437,8.446,15.699,22.537,14.933,6.32
412.5,18.268,70.775,8.494,8.444,15.725,22.372,14.972,6.348
412.86,17.715,71.384,8.427,8.381,15.718,22.34,14.94,6.289
413.23,17.084,71.936,8.455,8.344,15.708,22.184,14.925,6.26
413.6,16.401,72.492,8.474,8.283,15.754,22.134,14.867,6.206
413.97,15.74,72.968,8.451,8.249,15.766,22.058,14.857,6.184
414.33,15.143,73.395,8.391,8.261,15.771,21.953,14.898,6.195
414.7,14.635,73.957,8.449,8.347,15.803,21.804,14.976,6.19
415.07,14.074,74.424,8.399,8.257,15.894,21.707,14.941,6.195
415.44,13.552,74.89,8.483,8.247,15.985,21.547,14.998,6.198
415.8,13.118,75.2,8.411,8.291,16.016,21.437,14.989,6.175
416.17,12.807,75.43,8.329,8.304,16.1,21.32,14.986,6.128
416.54,12.57,75.733,8.34,8.331,16.161,21.276,15.072,6.108
416.9,12.395,76.02,8.441,8.356,16.174,21.168,15.057,6.143
417.27,12.233,76.325,8.455,8.253,16.215,21.115,15.009,6.133
417.64,12.088,76.621,8.475,8.313,16.216,21.032,15.073,6.099
418.01,12.089,76.837,8.421,8.273,16.163,21.009,15.054,6.11
418.37,12.038,77.136,8.466,8.175,16.249,20.954,15.121,6.168
418.74,12.053,77.424,8.511,8.141,16.238,20.847,15.206,6.196
419.11,12.114,77.688,8.482,8.111,16.229,20.748,15.133,6.209
419.47,12.133,77.911,8.417,8.068,16.309,20.621,15.145,6.166
419.84,12.211,78.207,8.414,8.111,16.332,20.503,15.175,6.117
420.21,12.384,78.381,8.417,8.078,16.336,20.464,15.161,6.113
420.57,12.523,78.627,8.409,8.168,16.401,20.38,15.195,6.103
420.94,12.729,78.823,8.385,8.219,16.414,20.288,15.229,6.063
421.31,12.952,78.983,8.339,8.191,16.432,20.189,15.226,6.087
421.67,13.197,79.106,8.37,8.231,16.489,20.074,15.285,6.075
422.04,13.585,79.273,8.395,8.194,16.497,20.058,15.293,6.062
422.41,13.977,79.41,8.285,8.202,16.515,19.95,15.277,6.117
422.77,14.369,79.585,8.232,8.218,16.506,19.827,15.318,6.143
423.14,14.801,79.671,8.223,8.146,16.558,19.646,15.327,6.184
423.51,15.291,79.865,8.251,8.13,16.614,19.528,15.307,6.18
423.87,15.881,80.01,8.279,8.105,16.688,19.481,15.322,6.184
424.24,16.581,80.194,8.253,8.085,16.715,19.391,15.298,6.135
424.6,17.288,80.412,8.248,8.09,16.758,19.247,15.362,6.198
424.97,18.137,80.509,8.31,8.125,16.808,19.154,15.4,6.133
425.34,19.132,80.706,8.315,8.079,16.944,19.035,15.413,6.131
425.7,20.221,80.952,8.333,8.047,17.004,18.964,15.407,6.081
426.07,21.346,81.01,8.318,8.03,17.059,18.853,15.423,6.102
