MacBeth_ColorChecker,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,Dark skin,Light skin,Blue sky,Foliage,Blue flower,Bluish green,Orange,Purplish blue,Moderate red,Purple,Yellow green,Orange yellow,Blue,Green,Red,Yellow,Magenta,Cyan,White,Neutral 8,Neutral 6.5,Neutral 5,Neutral 3.5,Black
384.08,7.483,17.568,14.506,6.545,16.323,18.572,11.049,11.552,11.694,9.726,11.884,11.051,5.563,6.054,4.788,14.49,12.911,8.39,30.317,20.914,18.995,12.603,8.044,3.079
384.45,7.775,17.49,14.641,6.962,16.523,18.934,10.755,11.748,12.086,9.739,11.734,10.938,6.067,6.013,4.687,14.734,13.334,8.29,30.212,21.381,18.847,12.189,8.094,3.428
384.82,7.755,17.839,15.017,7.183,17.01,19.211,11.302,12.293,12.693,10.038,11.972,11.244,6.681,6.329,5.158,14.775,13.674,9.368,30.861,21.676,19.012,11.84,8.097,3.346
385.19,7.768,17.59,15.363,7.361,17.412,19.367,11.089,12.238,12.686,9.866,11.8,11.54,6.656,6.645,5.224,14.627,13.743,9.657,30.821,21.853,19.297,11.852,8.539,3.038
385.57,8.074,17.584,15.648,7.451,17.787,19.522,11.058,12.528,12.848,10.176,11.92,11.776,7.047,6.552,5.437,14.818,14.405,9.742,30.999,22.28,19.868,11.945,8.39,2.828
385.94,8.142,17.618,15.857,7.426,17.895,19.654,10.95,12.729,13.119,10.373,12.124,11.756,7.268,6.889,5.53,15.048,14.664,9.624,31.019,22.66,19.626,11.818,8.387,2.648
386.31,8.503,17.793,16.286,7.712,18.441,19.882,10.856,13.095,13.252,10.499,12.412,11.701,7.596,6.968,5.605,15.198,14.767,10.119,31.224,22.904,20.027,12.193,8.36,2.621
386.68,8.223,17.378,16.075,7.221,18.159,19.67,10.184,13.202,13.004,10.069,12.294,11.736,7.479,6.803,5.29,14.7,14.748,10.215,31.289,22.605,20.441,12.403,8.084,2.664
387.05,8.233,17.161,16.4,7.238,18.162,19.887,9.921,13.611,13.205,10.293,12.462,11.626,7.721,6.781,5.269,14.801,15.173,10.756,30.943,22.697,20.351,12.608,8.217,3.014
387.43,8.527,17.037,16.642,7.08,18.472,20.078,9.81,13.778,13.01,10.508,12.443,11.589,7.758,6.837,5.468,14.257,15.551,11.033,31.039,22.796,20.607,12.66,8.21,3.059
387.8,8.343,17.166,16.983,6.865,18.828,20.308,9.69,14.167,12.972,10.942,12.395,11.326,8.334,7.023,5.53,14.011,15.754,11.43,31.128,22.772,21.049,12.881,8.258,3.485
388.17,8.724,17.624,17.596,7.089,19.421,20.595,10.221,14.553,13.478,11.416,12.45,11.652,9.1,7.326,5.635,14.264,16.3,11.753,31.423,23.268,21.007,12.648,8.107,3.565
388.54,8.683,17.426,17.69,6.965,19.47,20.501,10.375,14.701,13.448,11.633,12.699,11.776,9.221,7.368,5.867,14.051,16.351,11.932,31.574,23.525,21.002,12.965,8.294,3.485
